,orth,base,ctag,sentence
2652,zdaniem,zdanie,subst:sg:inst:n,144
2653,Senatu,senat,subst:sg:gen:m3,144
2654,",",",",interp,144
2655,przepis,przepis,subst:sg:nom:m3,144
2656,art,artykuł,brev:pun,144
2657,.,.,interp,144
2658,33a,33a,adj:sg:gen:m3:pos,144
2659,ust,ustęp,brev:pun,144
2660,.,.,interp,144
2661,3,3,adj:sg:nom:m3:pos,144
2662,",",",",interp,144
2663,dający,dawać,pact:sg:nom:m3:imperf:aff,144
2664,podstawę,podstawa,subst:sg:acc:f,144
2665,do,do,prep:gen,144
2666,niekontrolowanego,kontrolować,ppas:sg:gen:n:imperf:neg,144
2667,zwalczania,zwalczać,ger:sg:gen:n:imperf:aff,144
2668,na,na,prep:loc,144
2669,terenach,teren,subst:pl:loc:m3,144
2670,obwodów,obwód,subst:pl:gen:m3,144
2671,łowieckich,łowiecki,adj:pl:gen:m3:pos,144
2672,zdziczałych,zdziczały,adj:pl:gen:m2:pos,144
2673,psów,pies,subst:pl:gen:m2,144
2674,i,i,conj,144
2675,kotów,kot,subst:pl:gen:m2,144
2676,.,.,interp,144
2677,Prokurator,prokurator,subst:sg:nom:m1,145
2678,będzie,być,bedzie:sg:ter:imperf,145
2679,się,się,qub,145
2680,musiał,musieć,praet:sg:m1:imperf,145
2681,zająć,zająć,inf:perf,145
2682,także,także,qub,145
2683,sprawą,sprawa,subst:sg:inst:f,145
2684,specjalnych,specjalny,adj:pl:gen:m3:pos,145
2685,“,“,interp,145
2686,bonusów,bonus,subst:pl:gen:m3,145
2687,”,”,interp,145
2688,towarzyszących,towarzyszyć,pact:pl:gen:m3:imperf:aff,145
2689,inwestycji,inwestycja,subst:sg:dat:f,145
2690,.,.,interp,145
2691,Uzyskane,uzyskać,ppas:pl:nom:m3:perf:aff,146
2692,przez,przez,prep:acc:nwok,146
2693,nas,my,ppron12:pl:acc:m1:pri,146
2694,dokumenty,dokument,subst:pl:nom:m3,146
2695,świadczą,świadczyć,fin:pl:ter:imperf,146
2696,bowiem,bowiem,comp,146
2697,",",",",interp,146
2698,że,że,comp,146
2699,inwestor,inwestor,subst:sg:nom:m1,146
2700,zapłacił,zapłacić,praet:sg:m1:perf,146
2701,więcej,więcej,num:sg:acc:m3:rec,146
2702,",",",",interp,146
2703,niż,niż,conj,146
2704,wynika,wynikać,fin:sg:ter:imperf,146
2705,to,to,subst:sg:nom:n,146
2706,z,z,prep:gen:nwok,146
2707,umownej,umowny,adj:sg:gen:f:pos,146
2708,ceny,cena,subst:sg:gen:f,146
2709,sprzedaży,sprzedaż,subst:sg:gen:f,146
2710,gruntów,grunt,subst:pl:gen:m3,146
2711,(,(,interp,146
2712,ustalonej,ustalić,ppas:sg:gen:f:perf:aff,146
2713,na,na,prep:acc,146
2714,8.200.000,8.200.000,num:pl:acc:m2:rec,146
2715,zł,złoty,brev:npun,146
2716,),),interp,146
2717,.,.,interp,146
2718,Pieniędzmi,pieniądz,subst:pl:inst:m3,147
2719,na,na,prep:acc,147
2720,tzw,tak_zwany,brev:pun,147
2721,.,.,interp,147
2722,cele,cela,subst:pl:acc:f,147
2723,społeczne,społeczny,adj:pl:acc:f:pos,147
2724,(,(,interp,147
2725,udokumentowali,udokumentować,praet:pl:m1:perf,147
2726,śmy,być,aglt:pl:pri:imperf:nwok,147
2727,",",",",interp,147
2728,że,że,comp,147
2729,było,być,praet:sg:n:imperf,147
2730,tego,to,subst:sg:gen:n,147
2731,nie,nie,qub,147
2732,mniej,mniej,num:sg:nom:n:rec,147
2733,niż,niż,conj,147
2734,350,350,num:pl:nom:m3:rec,147
2735,tys,tysiąc,brev:pun,147
2736,.,.,interp,147
2737,zł,złoty,brev:npun,147
2738,),),interp,147
2739,dysponował,dysponować,praet:sg:m1:imperf,147
2740,(,(,interp,147
2741,poza,poza,prep:inst,147
2742,budżetem,budżet,subst:sg:inst:m3,147
2743,miasta,miasto,subst:sg:gen:n,147
2744,i,i,conj,147
2745,wiedzą,wiedza,subst:sg:inst:f,147
2746,radnych,radny,subst:pl:gen:m1,147
2747,),),interp,147
2748,jednoosobowo,jednoosobowo,adv:pos,147
2749,prezydent,prezydent,subst:sg:nom:m1,147
2750,Lubina,Lubin,subst:sg:gen:m3,147
2751,",",",",interp,147
2752,który,który,adj:sg:nom:m1:pos,147
2753,prezesowi,prezes,subst:sg:dat:m1,147
2754,GBS,GBS,subst:sg:nom:m3,147
2755,Polska,Polska,subst:sg:nom:f,147
2756,wskazywał,wskazywać,praet:sg:m1:imperf,147
2757,adresatów,adresat,subst:pl:acc:m1,147
2758,gotówki,gotówka,subst:sg:gen:f,147
2759,.,.,interp,147
2760,Wielokrotnie,wielokrotnie,adv:pos,148
2761,nagabywany,nagabywać,ppas:sg:nom:m1:imperf:aff,148
2762,o,o,prep:acc,148
2763,te,ten,adj:pl:acc:m3:pos,148
2764,pieniądze,pieniądz,subst:pl:acc:m3,148
2765,",",",",interp,148
2766,zarówno,zarówno,conj,148
2767,przez,przez,prep:acc:nwok,148
2768,dziennikarzy,dziennikarz,subst:pl:acc:m1,148
2769,",",",",interp,148
2770,jak,jak,conj,148
2771,i,i,conj,148
2772,radnych,radny,subst:pl:acc:m1,148
2773,",",",",interp,148
2774,prezydent,prezydent,subst:sg:nom:m1,148
2775,zawsze,zawsze,adv,148
2776,zasłaniał,zasłaniać,praet:sg:m1:imperf,148
2777,się,się,qub,148
2778,tajemnicą,tajemnica,subst:sg:inst:f,148
2779,handlową,handlowy,adj:sg:inst:f:pos,148
2780,.,.,interp,148
2781,-,-,interp,149
2782,Zobowiązując,zobowiązywać,pcon:imperf,149
2783,się,się,qub,149
2784,do,do,prep:gen,149
2785,przeznaczenia,przeznaczyć,ger:sg:gen:n:perf:aff,149
2786,pewnych,pewien,adj:pl:gen:m3:pos,149
2787,pieniędzy,pieniądz,subst:pl:gen:m3,149
2788,na,na,prep:acc,149
2789,cele,cel,subst:pl:acc:m3,149
2790,społeczne,społeczny,adj:pl:acc:m3:pos,149
2791,inwestor,inwestor,subst:sg:nom:m1,149
2792,nie,nie,qub,149
2793,życzył,życzyć,praet:sg:m1:imperf,149
2794,sobie,siebie,siebie:dat,149
2795,",",",",interp,149
2796,aby,aby,comp,149
2797,podawać,podawać,inf:imperf,149
2798,kwoty,kwota,subst:pl:acc:f,149
2799,i,i,conj,149
2800,cel,cel,subst:sg:acc:m3,149
2801,ich,on,ppron3:pl:gen:m3:ter:akc:npraep,149
2802,przeznaczenia,przeznaczyć,ger:sg:gen:n:perf:aff,149
2803,.,.,interp,149
2804,Dotrzymywał,dotrzymywać,praet:sg:m1:imperf,150
2805,em,być,aglt:sg:pri:imperf:wok,150
2806,tego,ten,adj:sg:gen:n:pos,150
2807,zobowiązania,zobowiązanie,subst:sg:gen:n,150
2808,",",",",interp,150
2809,bo,bo,comp,150
2810,przecież,przecież,qub,150
2811,chodziło,chodzić,praet:sg:n:imperf,150
2812,o,o,prep:acc,150
2813,środki,środek,subst:pl:acc:m3,150
2814,prywatne,prywatny,adj:pl:acc:m3:pos,150
2815,",",",",interp,150
2816,nie,nie,qub,150
2817,publiczne,publiczny,adj:pl:acc:m3:pos,150
2818,-,-,interp,150
2819,tłumaczy,tłumaczyć,fin:sg:ter:imperf,150
2820,dziś,dziś,adv,150
2821,poseł,poseł,subst:sg:nom:m1,150
2822,Tadeusz,Tadeusz,subst:sg:nom:m1,150
2823,Maćkała,Maćkała,subst:sg:nom:m1,150
2824,.,.,interp,150
2825,Poseł,poseł,subst:sg:nom:m1,151
2826,Maćkała,Maćkała,subst:sg:nom:m1,151
2827,ma,mieć,fin:sg:ter:imperf,151
2828,kłopot,kłopot,subst:sg:acc:m3,151
2829,.,.,interp,151
2830,Po,po,prep:loc,152
2831,naszym,nasz,adj:sg:loc:m3:pos,152
2832,wczorajszym,wczorajszy,adj:sg:loc:m3:pos,152
2833,artykule,artykuł,subst:sg:loc:m3,152
2834,",",",",interp,152
2835,prokuratura,prokuratura,subst:sg:nom:f,152
2836,zajęła,zająć,praet:sg:f:perf,152
2837,się,się,qub,152
2838,podejrzanymi,podejrzany,adj:pl:inst:f:pos,152
2839,okolicznościami,okoliczność,subst:pl:inst:f,152
2840,",",",",interp,152
2841,towarzyszącymi,towarzyszyć,pact:pl:inst:f:imperf:aff,152
2842,budowie,budowa,subst:sg:dat:f,152
2843,lubińskiego,lubiński,adj:sg:gen:m3:pos,152
2844,hipermarketu,hipermarket,subst:sg:gen:m3,152
2845,Real,Real,subst:sg:nom:m3,152
2846,",",",",interp,152
2847,w,w,prep:loc:nwok,152
2848,czasie,czas,subst:sg:loc:m3,152
2849,gdy,gdy,adv,152
2850,poseł,poseł,subst:sg:nom:m1,152
2851,był,być,praet:sg:m1:imperf,152
2852,prezydentem,prezydent,subst:sg:inst:m1,152
2853,tego,ten,adj:sg:gen:n:pos,152
2854,miasta,miasto,subst:sg:gen:n,152
2855,.,.,interp,152
2856,Miał,mieć,praet:sg:m1:imperf,153
2857,em,być,aglt:sg:pri:imperf:wok,153
2858,nawet,nawet,qub,153
2859,już,już,qub,153
2860,szynę,szyna,subst:sg:acc:f,153
2861,na,na,prep:acc,153
2862,to,ten,adj:sg:acc:n:pos,153
2863,sklepienie,sklepienie,subst:sg:acc:n,153
2864,załatwioną,załatwić,ppas:sg:acc:f:perf:aff,153
2865,",",",",interp,153
2866,pójść,pójść,inf:perf,153
2867,tylko,tylko,qub,153
2868,dać,dać,inf:perf,153
2869,w,w,prep:acc:nwok,153
2870,łapę,łapa,subst:sg:acc:f,153
2871,i,i,conj,153
2872,zajeżdżać,zajeżdżać,inf:imperf,153
2873,wozem,wóz,subst:sg:inst:m3,153
2874,.,.,interp,153
2875,Bo,bo,comp,154
2876,takiej,taki,adj:sg:gen:f:pos,154
2877,szyny,szyna,subst:sg:gen:f,154
2878,",",",",interp,154
2879,wiadomo,wiadomo,pred,154
2880,",",",",interp,154
2881,zwyczajnie,zwyczajnie,adv:pos,154
2882,nie,nie,qub,154
2883,kupi,kupić,fin:sg:ter:perf,154
2884,",",",",interp,154
2885,trzeba,trzeba,pred,154
2886,na,na,prep:acc,154
2887,okazję,okazja,subst:sg:acc:f,154
2888,trafić,trafić,inf:perf,154
2889,.,.,interp,154
2890,A,a,conj,155
2891,okazja,okazja,subst:sg:nom:f,155
2892,nigdy,nigdy,adv,155
2893,sama,sam,adj:sg:nom:f:pos,155
2894,na,na,prep:acc,155
2895,człowieka,człowiek,subst:sg:acc:m1,155
2896,nie,nie,qub,155
2897,czeka,czekać,fin:sg:ter:imperf,155
2898,",",",",interp,155
2899,tylko,tylko,qub,155
2900,człowiek,człowiek,subst:sg:nom:m1,155
2901,musi,musieć,fin:sg:ter:imperf,155
2902,na,na,prep:loc,155
2903,nią,on,ppron3:sg:acc:f:ter:akc:praep,155
2904,.,.,interp,155
2905,Potrzebne,potrzebny,adj:pl:nom:m3:pos,156
2906,mi,ja,ppron12:sg:dat:m1:pri:nakc,156
2907,były,być,praet:pl:m3:imperf,156
2908,trzy,trzy,num:pl:nom:m3:congr,156
2909,kawałki,kawałek,subst:pl:nom:m3,156
2910,",",",",interp,156
2911,po,po,prep:acc,156
2912,jakie,jaki,adj:pl:acc:m3:pos,156
2913,trzy,trzy,num:pl:acc:m3:congr,156
2914,metry,metr,subst:pl:acc:m3,156
2915,.,.,interp,156
2916,Co,co,qub,157
2917,się,się,qub,157
2918,nachodził,nachodzić,praet:sg:m1:perf,157
2919,em,być,aglt:sg:pri:imperf:wok,157
2920,",",",",interp,157
2921,napytał,napytać,praet:sg:m1:perf,157
2922,em,być,aglt:sg:pri:imperf:wok,157
2923,",",",",interp,157
2924,wszystko,wszystko,subst:sg:nom:n,157
2925,nadaremno,nadaremno,adv:pos,157
2926,.,.,interp,157
2927,Aż,aż,qub,158
2928,tu,tu,adv,158
2929,idę,iść,fin:sg:pri:imperf,158
2930,raz,raz,subst:sg:acc:m3,158
2931,koło,koło,prep:gen,158
2932,torów,tor,subst:pl:gen:m3,158
2933,i,i,conj,158
2934,widzę,widzieć,fin:sg:pri:imperf,158
2935,",",",",interp,158
2936,wymieniają,wymieniać,fin:pl:ter:imperf,158
2937,stare,stary,adj:pl:acc:f:pos,158
2938,szyny,szyna,subst:pl:acc:f,158
2939,na,na,prep:acc,158
2940,nowe,nowy,adj:pl:acc:f:pos,158
2941,.,.,interp,158
2942,Zagadnął,zagadnąć,praet:sg:m1:perf,159
2943,em,być,aglt:sg:pri:imperf:wok,159
2944,robotników,robotnik,subst:pl:acc:m1,159
2945,",",",",interp,159
2946,czy,czy,qub,159
2947,już,już,qub,159
2948,tamte,tamten,adj:pl:nom:f:pos,159
2949,tak,tak,adv:pos,159
2950,zjechane,zjechać,ppas:pl:nom:f:perf:aff,159
2951,",",",",interp,159
2952,że,że,comp,159
2953,się,się,qub,159
2954,nie,nie,qub,159
2955,nadają,nadawać,fin:pl:ter:imperf,159
2956,",",",",interp,159
2957,czy,czy,qub,159
2958,może,może,qub,159
2959,zmieniają,zmieniać,fin:pl:ter:imperf,159
2960,kolej,kolej,subst:sg:acc:f,159
2961,?,?,interp,159
2962,Nie,nie,qub,160
2963,zmieniają,zmieniać,fin:pl:ter:imperf,160
2964,",",",",interp,160
2965,tylko,tylko,conj,160
2966,pospieszny,pospieszny,adj:sg:nom:m3:pos,160
2967,będzie,być,bedzie:sg:ter:imperf,160
2968,tędy,tędy,adv,160
2969,chodził,chodzić,praet:sg:m3:imperf,160
2970,.,.,interp,160
2971,A,a,conj,161
2972,co,co,subst:sg:nom:n,161
2973,z,z,prep:inst:nwok,161
2974,tymi,ten,adj:pl:inst:f:pos,161
2975,starymi,stary,adj:pl:inst:f:pos,161
2976,?,?,interp,161
2977,Pójdą,pójść,fin:pl:ter:perf,162
2978,na,na,prep:acc,162
2979,szmelc,szmelc,subst:sg:acc:m3,162
2980,.,.,interp,162
2981,To,to,conj,163
2982,by,by,qub,163
2983,m,być,aglt:sg:pri:imperf:nwok,163
2984,kupił,kupić,praet:sg:m1:perf,163
2985,taką,taki,adj:sg:acc:f:pos,163
2986,jedną,jeden,adj:sg:acc:f:pos,163
2987,",",",",interp,163
2988,bo,bo,comp,163
2989,mi,ja,ppron12:sg:dat:m1:pri:nakc,163
2990,na,na,prep:acc,163
2991,sklepienie,sklepienie,subst:sg:acc:n,163
2992,do,do,prep:gen,163
2993,grobu,grób,subst:sg:gen:m3,163
2994,potrzebna,potrzebny,adj:sg:nom:f:pos,163
2995,.,.,interp,163
2996,Pocięło,pociąć,praet:sg:n:perf,164
2997,by,by,qub,164
2998,się,się,qub,164
2999,ją,on,ppron3:sg:acc:f:ter:akc:npraep,164
3000,na,na,prep:acc,164
3001,trzy,trzy,num:pl:acc:m3:congr,164
3002,kawałki,kawałek,subst:pl:acc:m3,164
3003,",",",",interp,164
3004,jeszcze,jeszcze,qub,164
3005,by,by,qub,164
3006,zostało,zostać,praet:sg:n:perf,164
3007,.,.,interp,164
3008,Nic,nic,subst:sg:gen:n,165
3009,nie,nie,qub,165
3010,wiedzą,wiedzieć,fin:pl:ter:imperf,165
3011,",",",",interp,165
3012,trza,trza,pred,165
3013,by,by,qub,165
3014,iść,iść,inf:imperf,165
3015,do,do,prep:gen,165
3016,naczelnika,naczelnik,subst:sg:gen:m1,165
3017,stacji,stacja,subst:sg:gen:f,165
3018,.,.,interp,165
3019,Poszedł,pójść,praet:sg:m1:perf,166
3020,em,być,aglt:sg:pri:imperf:wok,166
3021,do,do,prep:gen,166
3022,naczelnika,naczelnik,subst:sg:gen:m1,166
3023,",",",",interp,166
3024,dobry,dobry,adj:sg:nom:m1:pos,166
3025,przecież,przecież,qub,166
3026,znajomy,znajomy,subst:sg:nom:m1,166
3027,",",",",interp,166
3028,i,i,conj,166
3029,mówię,mówić,fin:sg:pri:imperf,166
3030,:,:,interp,166
3031,Aby,aby,comp,167
3032,narzucić,narzucić,inf:perf,167
3033,sobie,siebie,siebie:dat,167
3034,maksymalną,maksymalny,adj:sg:acc:f:pos,167
3035,w,w,prep:loc:nwok,167
3036,takich,taki,adj:pl:loc:m3:pos,167
3037,wypadkach,wypadek,subst:pl:loc:m3,167
3038,dyscyplinę,dyscyplina,subst:sg:acc:f,167
3039,",",",",interp,167
3040,wziął,wziąć,praet:sg:m1:perf,167
3041,em,być,aglt:sg:pri:imperf:wok,167
3042,na,na,prep:acc,167
3043,warsztat,warsztat,subst:sg:acc:m3,167
3044,lirykę,liryka,subst:sg:acc:f,167
3045,i,i,conj,167
3046,aforyzmy,aforyzm,subst:pl:acc:m3,167
3047,.,.,interp,167
3048,Niejedna,niejeden,adj:sg:nom:f:pos,168
3049,strofa,strofa,subst:sg:nom:f,168
3050,",",",",interp,168
3051,której,który,adj:sg:gen:f:pos,168
3052,uczą,uczyć,fin:pl:ter:imperf,168
3053,się,się,qub,168
3054,w,w,prep:loc:nwok,168
3055,szkołach,szkoła,subst:pl:loc:f,168
3056,na,na,prep:acc,168
3057,pamięć,pamięć,subst:sg:acc:f,168
3058,(,(,interp,168
3059,przez,przez,prep:acc:nwok,168
3060,serce,serce,subst:sg:acc:n,168
3061,",",",",interp,168
3062,por,porównaj,brev:pun,168
3063,.,.,interp,168
3064,angielski,angielski,adj:sg:acc:m3:pos,168
3065,",",",",interp,168
3066,francuski,francuski,adj:sg:acc:m3:pos,168
3067,),),interp,168
3068,swój,swój,adj:sg:acc:m3:pos,168
3069,obecny,obecny,adj:sg:acc:m3:pos,168
3070,kształt,kształt,subst:sg:acc:m3,168
3071,uzyskała,uzyskać,praet:sg:f:perf,168
3072,na,na,prep:loc,168
3073,moim,mój,adj:sg:loc:n:pos,168
3074,biurku,biurko,subst:sg:loc:n,168
3075,.,.,interp,168
3076,Szkolne,szkolny,adj:pl:nom:n:pos,169
3077,wypracowania,wypracowanie,subst:pl:nom:n,169
3078,opierają,opierać,fin:pl:ter:imperf,169
3079,się,się,qub,169
3080,na,na,prep:loc,169
3081,cytatach,cytat,subst:pl:loc:m3,169
3082,",",",",interp,169
3083,jakich,jaki,adj:pl:gen:m3:pos,169
3084,nie,nie,qub,169
3085,uświadczysz,uświadczyć,fin:sg:sec:perf,169
3086,w,w,prep:loc:nwok,169
3087,pierwotnej,pierwotny,adj:sg:loc:f:pos,169
3088,wersji,wersja,subst:sg:loc:f,169
3089,.,.,interp,169
3090,W,w,prep:loc:nwok,170
3091,werdykcie,werdykt,subst:sg:loc:m3,170
3092,dorocznej,doroczny,adj:sg:gen:f:pos,170
3093,nagrody,nagroda,subst:sg:gen:f,170
3094,poetyckiej,poetycki,adj:sg:gen:f:pos,170
3095,pojawił,pojawić,praet:sg:m3:perf,170
3096,się,się,qub,170
3097,dystych,dystych,subst:sg:nom:m3,170
3098,",",",",interp,170
3099,mający,mieć,pact:sg:nom:m3:imperf:aff,170
3100,niczym,niczym,prep:nom,170
3101,koda,koda,subst:sg:nom:f,170
3102,streszczać,streszczać,inf:imperf,170
3103,całe,cały,adj:sg:acc:n:pos,170
3104,dzieło,dzieło,subst:sg:acc:n,170
3105,",",",",interp,170
3106,naniesiony,nanieść,ppas:sg:nom:m3:perf:aff,170
3107,na,na,prep:loc,170
3108,marginesie,margines,subst:sg:loc:m3,170
3109,w,w,prep:loc:nwok,170
3110,zastępstwie,zastępstwo,subst:sg:loc:n,170
3111,sformułowań,sformułowanie,subst:pl:gen:n,170
3112,nie,nie,qub,170
3113,do,do,prep:gen,170
3114,końca,koniec,subst:sg:gen:m3,170
3115,przekonujących,przekonujący,adj:pl:gen:n:pos,170
3116,",",",",interp,170
3117,które,który,adj:pl:acc:n:pos,170
3118,zdecydowali,zdecydować,praet:pl:m1:perf,170
3119,śmy,być,aglt:pl:pri:imperf:nwok,170
3120,się,się,qub,170
3121,skreślić,skreślić,inf:perf,170
3122,.,.,interp,170
3123,Słownik,słownik,subst:sg:nom:m3,171
3124,terminów,termin,subst:pl:gen:m3,171
3125,literackich,literacki,adj:pl:gen:m3:pos,171
3126,podaje,podawać,fin:sg:ter:imperf,171
3127,moją,mój,adj:sg:acc:f:pos,171
3128,ingerencję,ingerencja,subst:sg:acc:f,171
3129,jako,jako,conj,171
3130,przykład,przykład,subst:sg:acc:m3,171
3131,twórczej,twórczy,adj:sg:gen:f:pos,171
3132,aliteracji,aliteracja,subst:sg:gen:f,171
3133,",",",",interp,171
3134,nie,nie,qub,171
3135,podejrzewając,podejrzewać,pcon:imperf,171
3136,",",",",interp,171
3137,że,że,comp,171
3138,autor,autor,subst:sg:nom:m1,171
3139,chciał,chcieć,praet:sg:m1:imperf,171
3140,nam,my,ppron12:pl:dat:m1:pri,171
3141,tylko,tylko,qub,171
3142,wygarnąć,wygarnąć,inf:perf,171
3143,prawdę,prawda,subst:sg:acc:f,171
3144,",",",",interp,171
3145,pozbawioną,pozbawić,ppas:sg:acc:f:perf:aff,171
3146,instrumentacji,instrumentacja,subst:sg:gen:f,171
3147,głoskowej,głoskowy,adj:sg:gen:f:pos,171
3148,.,.,interp,171
3149,Warto,warto,pred,172
3150,pamiętać,pamiętać,inf:imperf,172
3151,",",",",interp,172
3152,że,że,comp,172
3153,prawda,prawda,subst:sg:nom:f,172
3154,składa,składać,fin:sg:ter:imperf,172
3155,się,się,qub,172
3156,z,z,prep:gen:nwok,172
3157,morfemów,morfem,subst:pl:gen:m3,172
3158,.,.,interp,172
3159,Gdyby,gdyby,comp,173
3160,tylko,tylko,qub,173
3161,szło,iść,praet:sg:n:imperf,173
3162,o,o,prep:acc,173
3163,gorzkawe,gorzkawy,adj:sg:acc:n:pos,173
3164,natrząsanie,natrząsać,ger:sg:acc:n:imperf:aff,173
3165,się,się,qub,173
3166,z,z,prep:gen:nwok,173
3167,nietrafionej,trafić,ppas:sg:gen:f:perf:neg,173
3168,(,(,interp,173
3169,bo,bo,comp,173
3170,nieczytelnej,nieczytelny,adj:sg:gen:f:pos,173
3171,w,w,prep:loc:nwok,173
3172,swym,swój,adj:sg:loc:n:pos,173
3173,przesłaniu,przesłanie,subst:sg:loc:n,173
3174,),),interp,173
3175,przydrożnej,przydrożny,adj:sg:gen:f:pos,173
3176,reklamy,reklama,subst:sg:gen:f,173
3177,",",",",interp,173
3178,nie,nie,qub,173
3179,było,być,praet:sg:n:imperf,173
3180,by,by,qub,173
3181,o,o,prep:loc,173
3182,czym,co,subst:sg:loc:n,173
3183,pisać,pisać,inf:imperf,173
3184,",",",",interp,173
3185,ale,ale,conj,173
3186,pojawiła,pojawić,praet:sg:f:perf,173
3187,się,się,qub,173
3188,we,w,prep:loc:wok,173
3189,mnie,ja,ppron12:sg:loc:m1:pri,173
3190,zgoła,zgoła,qub,173
3191,inna,inny,adj:sg:nom:f:pos,173
3192,refleksja,refleksja,subst:sg:nom:f,173
3193,-,-,interp,173
3194,jak,jak,adv:pos,173
3195,najbardziej,bardzo,adv:sup,173
3196,na,na,prep:acc,173
3197,serio,serio,adv:pos,173
3198,.,.,interp,173
3199,Pytanie,pytanie,subst:sg:nom:n,174
3200,",",",",interp,174
3201,które,który,adj:sg:acc:n:pos,174
3202,powinien,powinien,winien:sg:m1:imperf,174
3203,(,(,interp,174
3204,jak,jak,adv:pos,174
3205,sądzę,sądzić,fin:sg:pri:imperf,174
3206,),),interp,174
3207,postawić,postawić,inf:perf,174
3208,sobie,siebie,siebie:dat,174
3209,każdy,każdy,adj:sg:nom:m1:pos,174
3210,przed,przed,prep:inst:nwok,174
3211,zmówieniem,zmówić,ger:sg:inst:n:perf:aff,174
3212,wieczornego,wieczorny,adj:sg:gen:m3:pos,174
3213,pacierza,pacierz,subst:sg:gen:m3,174
3214,",",",",interp,174
3215,przy,przy,prep:loc,174
3216,rachunku,rachunek,subst:sg:loc:m3,174
3217,sumienia,sumienie,subst:sg:gen:n,174
3218,z,z,prep:gen:nwok,174
3219,mijającego,mijać,pact:sg:gen:m3:imperf:aff,174
3220,dnia,dzień,subst:sg:gen:m3,174
3221,.,.,interp,174
3222,Pytanie,pytanie,subst:sg:nom:n,175
3223,brzmi,brzmieć,fin:sg:ter:imperf,175
3224,:,:,interp,175
3225,czy,czy,qub,175
3226,mogę,móc,fin:sg:pri:imperf,175
3227,o,o,prep:loc,175
3228,sobie,siebie,siebie:loc,175
3229,powiedzieć,powiedzieć,inf:perf,175
3230,",",",",interp,175
3231,że,że,comp,175
3232,nadal,nadal,adv,175
3233,jestem,być,fin:sg:pri:imperf,175
3234,dobrym,dobry,adj:sg:inst:m1:pos,175
3235,człowiekiem,człowiek,subst:sg:inst:m1,175
3236,?,?,interp,175
3237,Nikomu,nikt,subst:sg:dat:m1,176
3238,nie,nie,qub,176
3239,zaszkodził,zaszkodzić,praet:sg:m1:perf,176
3240,em,być,aglt:sg:pri:imperf:wok,176
3241,(,(,interp,176
3242,nawet,nawet,qub,176
3243,nieumyślnie,nieumyślnie,adv:pos,176
3244,),),interp,176
3245,",",",",interp,176
3246,nie,nie,qub,176
3247,skrzywdził,skrzywdzić,praet:sg:m1:perf,176
3248,em,być,aglt:sg:pri:imperf:wok,176
3249,obmową,obmowa,subst:sg:inst:f,176
3250,",",",",interp,176
3251,nie,nie,qub,176
3252,uraził,urazić,praet:sg:m1:perf,176
3253,em,być,aglt:sg:pri:imperf:wok,176
3254,czyichś,czyjś,adj:pl:gen:n:pos,176
3255,uczuć,uczucie,subst:pl:gen:n,176
3256,?,?,interp,176
3257,Czy,czy,qub,177
3258,-,-,interp,177
3259,nawiązując,nawiązywać,pcon:imperf,177
3260,do,do,prep:gen,177
3261,alegorycznego,alegoryczny,adj:sg:gen:n:pos,177
3262,odczytania,odczytać,ger:sg:gen:n:perf:aff,177
3263,reklamy,reklama,subst:sg:gen:f,177
3264,-,-,interp,177
3265,nie,nie,qub,177
3266,stał,stać,praet:sg:m1:imperf,177
3267,em,być,aglt:sg:pri:imperf:wok,177
3268,się,się,qub,177
3269,„,„,interp,177
3270,homo,homo,subst:sg:inst:m1,177
3271,sapiens,sapiens,subst:sg:inst:m1,177
3272,-,-,interp,177
3273,sus,sus,subst:sg:inst:m3,177
3274,”,”,interp,177
3275,",",",",interp,177
3276,czyli,czyli,conj,177
3277,",",",",interp,177
3278,rzecz,rzecz,subst:sg:acc:f,177
3279,nazywając,nazywać,pcon:imperf,177
3280,po,po,prep:loc,177
3281,imieniu,imię,subst:sg:loc:n,177
3282,",",",",interp,177
3283,nie,nie,qub,177
3284,ześwinił,ześwinić,praet:sg:m1:perf,177
3285,em,być,aglt:sg:pri:imperf:wok,177
3286,się,się,qub,177
3287,?,?,interp,177
3288,Myślę,myśleć,fin:sg:pri:imperf,178
3289,",",",",interp,178
3290,że,że,comp,178
3291,ten,ten,adj:sg:nom:m3:pos,178
3292,problem,problem,subst:sg:nom:m3,178
3293,zdecydowanie,zdecydowanie,adv:pos,178
3294,umyka,umykać,fin:sg:ter:imperf,178
3295,uwagi,uwaga,subst:sg:gen:f,178
3296,.,.,interp,178
3297,Iluż,ileż,num:pl:gen:f:congr,179
3298,uniknęli,uniknąć,praet:pl:m1:perf,179
3299,by,by,qub,179
3300,śmy,być,aglt:pl:pri:imperf:nwok,179
3301,przykrych,przykry,adj:pl:gen:f:pos,179
3302,dla,dla,prep:gen,179
3303,nas,my,ppron12:pl:gen:m1:pri,179
3304,sytuacji,sytuacja,subst:pl:gen:f,179
3305,",",",",interp,179
3306,a,a,conj,179
3307,i,i,qub,179
3308,nie,nie,qub,179
3309,przyprawiali,przyprawiać,praet:pl:m1:imperf,179
3310,by,by,qub,179
3311,śmy,być,aglt:pl:pri:imperf:nwok,179
3312,o,o,prep:acc,179
3313,zły,zły,adj:sg:acc:m3:pos,179
3314,nastrój,nastrój,subst:sg:acc:m3,179
3315,innych,inny,adj:pl:acc:m1:pos,179
