,orth,base,ctag,chunk
7067,wykonywanie,wykonywać,ger:sg:nom:n:imperf:aff,382
7068,jest,być,fin:sg:ter:imperf,382
7069,szkodliwe,szkodliwy,adj:sg:nom:n:pos,382
7070,dla,dla,prep:gen,382
7071,zdrowia,zdrowie,subst:sg:gen:n,382
7072,wykonawcy,wykonawca,subst:sg:gen:m1,382
7073,lub,lub,conj,382
7074,jego,on,ppron3:sg:gen:m1:ter:akc:npraep,382
7075,współmieszkańców,współmieszkaniec,subst:pl:gen:m1,382
7076,.,.,interp,382
7077,2,2,num:pl:nom:m1:rec,383
7078,.,.,interp,383
7079,Dostarczane,dostarczać,ppas:sg:nom:n:imperf:aff,384
7080,przez,przez,prep:acc:nwok,384
7081,nakładcę,nakładca,subst:sg:acc:m1,384
7082,surowce,surowiec,subst:pl:nom:m3,384
7083,",",",",interp,384
7084,materiały,materiał,subst:pl:nom:m3,384
7085,",",",",interp,384
7086,maszyny,maszyna,subst:sg:gen:f,384
7087,i,i,conj,384
7088,inne,inny,depr:pl:nom:m2,384
7089,urządzenia,urządzenie,subst:sg:gen:n,384
7090,techniczne,techniczny,adj:sg:nom:n:pos,384
7091,powinny,powinny,adj:sg:nom:m1:pos,384
7092,odpowiadać,odpowiadać,inf:imperf,384
7093,wymaganiom,wymaganie,subst:pl:dat:n,384
7094,bezpieczeństwa,bezpieczeństwo,subst:sg:gen:n,384
7095,i,i,conj,384
7096,higieny,higiena,subst:sg:gen:f,384
7097,pracy,praca,subst:sg:gen:f,384
7098,.,.,interp,384
7099,3,3,num:pl:nom:m1:rec,385
7100,.,.,interp,385
7101,Jeżeli,jeżeli,comp,386
7102,praca,praca,subst:sg:nom:f,386
7103,nakładcza,nakładczy,adj:sg:nom:f:pos,386
7104,wykonywana,wykonywać,ppas:sg:nom:f:imperf:aff,386
7105,jest,być,fin:sg:ter:imperf,386
7106,w,w,prep:acc:nwok,386
7107,pomieszczeniach,pomieszczenie,subst:pl:loc:n,386
7108,pracy,praca,subst:sg:gen:f,386
7109,należących,należąca,subst:pl:gen:f,386
7110,do,do,prep:gen,386
7111,nakładcy,nakładca,subst:sg:gen:m1,386
7112,",",",",interp,386
7113,stosuje,stosować,fin:sg:ter:imperf,386
7114,się,się,qub,386
7115,przepisy,przepis,subst:pl:nom:m3,386
7116,działu,dział,subst:sg:gen:m3,386
7117,dziesiątego,dziesiąty,subst:sg:gen:m2,386
7118,Kodeksu,kodeks,subst:sg:gen:m3,386
7119,pracy,praca,subst:sg:gen:f,386
7120,",",",",interp,386
7121,z,z,prep:gen:nwok,386
7122,zastrzeżeniem,zastrzeżenie,subst:sg:inst:n,386
7123,§,§,interp,386
7124,23,23,num:pl:nom:m1:rec,386
7125,-,-,interp,386
7126,25,25,num:pl:nom:m1:rec,386
7127,.,.,interp,386
7128,-,-,interp,387
7129,W,w,prep:acc:nwok,387
7130,treści,treść,subst:sg:gen:f,387
7131,sądowego,sądowy,adj:sg:gen:m1:pos,387
7132,wyroku,wyrok,subst:sg:gen:m3,387
7133,nie,nie,conj,387
7134,znalazła,znaleźć,praet:sg:f:perf,387
7135,się,się,qub,387
7136,informacja,informacja,subst:sg:nom:f,387
7137,o,o,prep:acc,387
7138,tym,tym,conj,387
7139,",",",",interp,387
7140,że,że,comp,387
7141,tak,tak,adv:pos,387
7142,ma,mój,adj:sg:nom:f:pos,387
7143,się,się,qub,387
7144,stać,stać,pred,387
7145,-,-,interp,387
7146,dodaje,dodawać,fin:sg:ter:imperf,387
7147,.,.,interp,387
7148,-,-,interp,388
7149,Nie,nie,conj,388
7150,ma,mój,adj:sg:nom:f:pos,388
7151,więc,więc,conj,388
7152,chyba,chyba,qub,388
7153,podstaw,podstawa,subst:pl:gen:f,388
7154,do,do,prep:gen,388
7155,takich,taki,adj:pl:gen:m1:pos,388
7156,roszczeń,roszczenie,subst:pl:gen:n,388
7157,.,.,interp,388
7158,W,w,prep:acc:nwok,389
7159,2002,2002,num:pl:nom:m1:rec,389
7160,roku,rok,subst:sg:gen:m3,389
7161,Rada,rada,subst:sg:nom:f,389
7162,Miasta,miasto,subst:sg:gen:n,389
7163,podjęła,podjąć,praet:sg:f:perf,389
7164,decyzję,decyzja,subst:sg:acc:f,389
7165,o,o,prep:acc,389
7166,zmianach,zmiana,subst:pl:loc:f,389
7167,zasad,zasada,subst:pl:gen:f,389
7168,sprzedaży,sprzedaż,subst:sg:gen:f,389
7169,mieszkań,mieszkanie,subst:pl:gen:n,389
7170,komunalnych,komunalny,adj:pl:gen:m1:pos,389
7171,w,w,prep:acc:nwok,389
7172,budynkach,budynek,subst:pl:loc:m3,389
7173,",",",",interp,389
7174,w,w,prep:acc:nwok,389
7175,których,który,adj:pl:gen:m1:pos,389
7176,jest,być,fin:sg:ter:imperf,389
7177,od,od,prep:gen:nwok,389
7178,jednego,jeden,subst:sg:gen:m2,389
7179,do,do,prep:gen,389
7180,czterech,cztery,num:pl:nom:m1:rec,389
7181,czterech,cztery,num:pl:nom:m1:rec,389
7182,czterech,cztery,num:pl:nom:m1:rec,389
7183,czterech,cztery,num:pl:nom:m1:rec,389
7184,czterech,cztery,num:pl:nom:m1:rec,389
7185,czterech,cztery,num:pl:nom:m1:rec,389
7186,czterech,cztery,num:pl:nom:m1:rec,389
7187,czterech,cztery,num:pl:nom:m1:rec,389
7188,czterech,cztery,num:pl:nom:m1:rec,389
7189,czterech,cztery,num:pl:nom:m1:rec,389
7190,czterech,cztery,num:pl:nom:m1:rec,389
7191,czterech,cztery,num:pl:nom:m1:rec,389
7192,czterech,cztery,num:pl:nom:m1:rec,389
7193,lokatorów,lokator,subst:pl:gen:m1,389
7194,.,.,interp,389
7195,Nie,nie,conj,390
7196,chodziło,chodzić,praet:sg:n:imperf,390
7197,o,o,prep:acc,390
7198,ich,on,ppron3:pl:gen:m1:ter:akc:npraep,390
7199,stan,stan,subst:sg:nom:m3,390
7200,techniczny,techniczny,adj:sg:nom:m1:pos,390
7201,",",",",interp,390
7202,ale,ale,conj,390
7203,o,o,prep:acc,390
7204,wielkość,wielkość,subst:sg:nom:f,390
7205,budynku,budynek,subst:sg:gen:m3,390
7206,.,.,interp,390
7207,Innym,inny,subst:sg:inst:m1,391
7208,z,z,prep:gen:nwok,391
7209,argumentów,argument,subst:pl:gen:m3,391
7210,było,być,praet:sg:n:imperf,391
7211,to,to,conj,391
7212,",",",",interp,391
7213,że,że,comp,391
7214,domy,dom,subst:pl:nom:m3,391
7215,te,te,subst:sg:nom:n,391
7216,stoją,stać,fin:pl:ter:imperf,391
7217,zazwyczaj,zazwyczaj,adv:pos,391
7218,w,w,prep:acc:nwok,391
7219,atrakcyjnych,atrakcyjny,adj:pl:gen:m1:pos,391
7220,dzielnicach,dzielnica,subst:pl:loc:f,391
7221,o,o,prep:acc,391
7222,niskiej,niski,adj:sg:gen:f:pos,391
7223,zabudowie,zabudowa,subst:sg:dat:f,391
7224,",",",",interp,391
7225,na,na,prep:acc,391
7226,bardzo,bardzo,adv:pos,391
7227,ładnych,ładny,adj:pl:gen:m1:pos,391
7228,działkach,działka,subst:pl:loc:f,391
7229,.,.,interp,391
7230,Rada,rada,subst:sg:nom:f,392
7231,ograniczyła,ograniczyć,praet:sg:f:perf,392
7232,ulgi,ulga,subst:sg:gen:f,392
7233,także,także,qub,392
7234,potencjalnym,potencjalny,adj:sg:inst:m1:pos,392
7235,kupcom,kupiec,subst:pl:dat:m1,392
7236,komunalnych,komunalny,adj:pl:gen:m1:pos,392
7237,lokali,lokal,subst:pl:gen:m3,392
7238,płacącym,płacić,pact:sg:inst:m1:imperf:aff,392
7239,czynsz,czynsz,subst:sg:nom:m3,392
7240,wolny,wolny,subst:sg:nom:m2,392
7241,",",",",interp,392
7242,którzy,który,adj:pl:nom:m1:pos,392
7243,zajmują,zajmować,fin:pl:ter:imperf,392
7244,duże,duha,subst:sg:dat:f,392
7245,najczęściej,często,adv:pos,392
7246,ponad,ponad,qub,392
7247,100,100,num:pl:nom:m1:rec,392
7248,-,-,interp,392
7249,metrowe,metrowa,subst:pl:nom:f,392
7250,mieszkanie,mieszkanie,subst:sg:nom:n,392
7251,.,.,interp,392
7252,-,-,interp,393
7253,Nic,nic,subst:sg:nom:n,393
7254,nie,nie,conj,393
7255,wiedzieli,wiedzieć,praet:pl:m1:imperf,393
7256,-,-,interp,393
7257,mówi,mówić,fin:sg:ter:imperf,393
7258,.,.,interp,393
7259,-,-,interp,394
7260,W,w,prep:acc:nwok,394
7261,dodatku,dodatek,subst:sg:gen:m3,394
7262,poinformowano,poinformować,imps:perf,394
7263,mnie,ja,ppron12:sg:gen:m1:pri:akc,394
7264,",",",",interp,394
7265,że,że,comp,394
7266,nawet,nawet,qub,394
7267,nie,nie,conj,394
7268,byli,były,subst:pl:nom:m1,394
7269,tego,to,subst:sg:gen:n,394
7270,dnia,dzień,subst:sg:gen:m3,394
7271,na,na,prep:acc,394
7272,ul,ul,subst:sg:nom:m3,394
7273,.,.,interp,394
7274,Płockiej,płocki,adj:sg:gen:f:pos,394
7275,.,.,interp,394
7276,Oficer,oficer,subst:sg:nom:m1,395
7277,skierował,skierować,praet:sg:m1:perf,395
7278,mnie,ja,ppron12:sg:gen:m1:pri:akc,395
7279,do,do,prep:gen,395
7280,komisariatu,komisariat,subst:sg:gen:m3,395
7281,przy,przy,prep:loc,395
7282,ul,ul,subst:sg:nom:m3,395
7283,.,.,interp,395
7284,Wólczańskiej,wólczański,adj:sg:gen:f:pos,395
7285,",",",",interp,395
7286,ale,ale,conj,395
7287,tam,tam,adv:pos,395
7288,też,też,qub,395
7289,niczego,nic,subst:sg:gen:n,395
7290,się,się,qub,395
7291,nie,nie,conj,395
7292,dowiedział,dowiedzieć,praet:sg:m1:perf,395
7293,em,być,aglt:sg:pri:imperf:wok,395
7294,.,.,interp,395
7295,Ani,ani,conj,396
7296,akordeonu,akordeon,subst:sg:gen:m3,396
7297,",",",",interp,396
7298,ani,ani,conj,396
7299,nawet,nawet,qub,396
7300,wzmianki,wzmianka,subst:sg:gen:f,396
7301,",",",",interp,396
7302,że,że,comp,396
7303,policja,policja,subst:sg:nom:f,396
7304,była,była,subst:sg:nom:f,396
7305,w,w,prep:acc:nwok,396
7306,mojej,moja,subst:sg:gen:f,396
7307,kamienicy,kamienica,subst:sg:gen:f,396
7308,.,.,interp,396
7309,Kolejne,kolejny,adj:sg:nom:n:pos,397
7310,telefony,telefon,subst:pl:nom:m3,397
7311,i,i,conj,397
7312,prośby,prośba,subst:sg:gen:f,397
7313,o,o,prep:acc,397
7314,pomoc,pomoc,subst:sg:nom:f,397
7315,nic,nic,subst:sg:nom:n,397
7316,nie,nie,conj,397
7317,dały,dać,praet:pl:m2:perf,397
7318,.,.,interp,397
7319,Pan,Pan,subst:sg:nom:m1,398
7320,Pan,pan,subst:sg:nom:m1,398
7321,Waldemar,Waldemar,subst:sg:nom:m1,398
7322,słyszał,słyszeć,praet:sg:m1:imperf,398
7323,",",",",interp,398
7324,że,że,comp,398
7325,akordeonu,akordeon,subst:sg:gen:m3,398
7326,nie,nie,conj,398
7327,ma,mój,adj:sg:nom:f:pos,398
7328,",",",",interp,398
7329,nikt,nikt,subst:sg:nom:m1,398
7330,go,go,subst:sg:nom:n,398
7331,nie,nie,conj,398
7332,brał,brać,praet:sg:m1:imperf,398
7333,",",",",interp,398
7334,a,a,conj,398
7335,2,2,num:pl:nom:m1:rec,398
7336,maja,maj,subst:sg:gen:m3,398
7337,żadnego,żaden,adj:sg:gen:m1:pos,398
7338,policjanta,policjant,subst:sg:gen:m1,398
7339,na,na,prep:acc,398
7340,ul,ul,subst:sg:nom:m3,398
7341,.,.,interp,398
7342,Płockiej,płocki,adj:sg:gen:f:pos,398
7343,nie,nie,conj,398
7344,było,być,praet:sg:n:imperf,398
7345,.,.,interp,398
7346,Tymczasem,tymczasem,conj,399
7347,sąsiadka,sąsiadek,subst:sg:gen:m1,399
7348,zaklina,zaklinać,fin:sg:ter:imperf,399
7349,się,się,qub,399
7350,",",",",interp,399
7351,że,że,comp,399
7352,na,na,prep:acc,399
7353,policję,policja,subst:sg:acc:f,399
7354,dzwoniła,dzwonić,praet:sg:f:imperf,399
7355,",",",",interp,399
7356,a,a,conj,399
7357,parę,para,subst:sg:acc:f,399
7358,innych,inny,subst:pl:gen:m1,399
7359,osób,osoba,subst:pl:gen:f,399
7360,widziało,widzieć,praet:sg:n:imperf,399
7361,",",",",interp,399
7362,jak,jak,conj,399
7363,policjanci,policjant,subst:pl:nom:m1,399
7364,pakowali,pakować,praet:pl:m1:imperf,399
7365,instrument,instrument,subst:sg:nom:m3,399
7366,do,do,prep:gen,399
7367,radiowozu,radiowóz,subst:sg:gen:m3,399
7368,.,.,interp,399
7369,-,-,interp,400
7370,Pan,Pan,subst:sg:nom:m1,400
7371,Pan,pan,subst:sg:nom:m1,400
7372,prezydent,prezydent,subst:sg:nom:m1,400
7373,prosi,prosić,fin:sg:ter:imperf,400
7374,zaczekać,zaczekać,inf:perf,400
7375,.,.,interp,400
7376,-,-,interp,401
7377,Czy,czy,conj,401
7378,tam,tam,adv:pos,401
7379,ktoś,ktoś,subst:sg:nom:m1,401
7380,jest,być,fin:sg:ter:imperf,401
7381,?,?,interp,401
7382,-,-,interp,402
7383,Nie,nie,conj,402
7384,",",",",interp,402
7385,panie,pan,subst:sg:voc:m1,402
7386,doktorze,doktor,subst:sg:loc:m1,402
7387,doktorze,doktór,subst:sg:loc:m1,402
7388,.,.,interp,402
7389,Murek,murek,subst:sg:nom:m3,403
7390,spojrzał,spojrzeć,praet:sg:m1:perf,403
7391,na,na,prep:acc,403
7392,ń,on,ppron3:sg:gen:m1:ter:nakc:praep,403
7393,pytającym,pytający,adj:sg:inst:m1:pos,403
7394,wzrokiem,wzrok,subst:sg:inst:m3,403
7395,",",",",interp,403
7396,lecz,lecz,conj,403
7397,Więcek,Więcek,ign,403
7398,wbił,wbić,praet:sg:m1:perf,403
7399,oczy,oko,subst:pl:nom:n,403
7400,w,w,prep:acc:nwok,403
7401,biurko,biurko,subst:sg:nom:n,403
7402,.,.,interp,403
7403,Dwie,dwa,num:pl:nom:m1:rec,404
7404,Dwie,dwa,num:pl:nom:m1:rec,404
7405,Dwie,dwa,num:pl:nom:m1:rec,404
7406,maszynistki,maszynistka,subst:sg:gen:f,404
7407,pod,pod,prep:acc:nwok,404
7408,ścianą,ściana,subst:sg:inst:f,404
7409,zerkały,zerkać,praet:pl:m2:imperf,404
7410,zaciekawione,zaciekawić,ppas:sg:nom:n:perf:aff,404
7411,w,w,prep:acc:nwok,404
7412,stronę,strona,subst:sg:acc:f,404
7413,Murka,murek,subst:sg:gen:m3,404
7414,.,.,interp,404
7415,Zaczął,zacząć,praet:sg:m1:perf,405
7416,chodzić,chodzić,inf:imperf,405
7417,po,po,prep:acc,405
7418,pokoju,pokój,subst:sg:gen:m3,405
7419,.,.,interp,405
7420,Minęło,minąć,praet:sg:n:perf,406
7421,pięć,piąć,ger:pl:gen:n:imperf:aff,406
7422,minut,minuta,subst:pl:gen:f,406
7423,",",",",interp,406
7424,dziesięć,dziesięć,num:pl:nom:m1:rec,406
7425,dziesięć,dziesięć,num:pl:nom:m1:rec,406
7426,dziesięć,dziesięć,num:pl:nom:m1:rec,406
7427,dziesięć,dziesięć,num:pl:nom:m1:rec,406
7428,dziesięć,dziesięć,num:pl:nom:m1:rec,406
7429,dziesięć,dziesięć,num:pl:nom:m1:rec,406
7430,dziesięć,dziesięć,num:pl:nom:m1:rec,406
7431,dziesięć,dziesięć,num:pl:nom:m1:rec,406
7432,dziesięć,dziesięć,num:pl:nom:m1:rec,406
7433,dziesięć,dziesięć,num:pl:nom:m1:rec,406
7434,dziesięć,dziesięć,num:pl:nom:m1:rec,406
7435,dziesięć,dziesięć,num:pl:nom:m1:rec,406
7436,.,.,interp,406
7437,Czuł,czuć,praet:sg:m1:imperf,407
7438,",",",",interp,407
7439,że,że,comp,407
7440,maszynistka,maszynistka,subst:sg:nom:f,407
7441,nie,nie,conj,407
7442,spuszczają,spuszczać,fin:pl:ter:imperf,407
7443,ze,z,prep:gen:wok,407
7444,ń,on,ppron3:sg:gen:m1:ter:nakc:praep,407
7445,oczu,oko,subst:pl:gen:n,407
7446,.,.,interp,407
7447,-,-,interp,408
7448,Może,może,qub,408
7449,pan,pan,subst:sg:nom:m1,408
7450,doktor,doktor,subst:sg:nom:m1,408
7451,spocznie,spocząć,fin:sg:ter:perf,408
7452,?,?,interp,408
7453,-,-,interp,408
7454,podsunął,podsunąć,praet:sg:m1:perf,408
7455,mu,on,ppron3:sg:dat:m1:ter:nakc:npraep,408
7456,krzesło,krzesło,subst:sg:nom:n,408
7457,Więcek,Więcek,ign,408
7458,.,.,interp,408
7459,-,-,interp,409
7460,Nie,nie,conj,409
7461,",",",",interp,409
7462,dziękuję,dziękować,fin:sg:pri:imperf,409
7463,.,.,interp,409
7464,Starał,starać,praet:sg:m1:imperf,410
7465,się,się,qub,410
7466,zachować,zachować,inf:perf,410
7467,spokój,spokój,subst:sg:nom:m3,410
7468,",",",",interp,410
7469,lecz,lecz,conj,410
7470,przychodziło,przychodzić,praet:sg:n:imperf,410
7471,mu,on,ppron3:sg:dat:m1:ter:nakc:npraep,410
7472,to,to,conj,410
7473,z,z,prep:gen:nwok,410
7474,trudnością,trudność,subst:sg:inst:f,410
7475,:,:,interp,410
7476,-,-,interp,410
7477,W,w,prep:acc:nwok,410
7478,tym,tym,conj,410
7479,musi,muszy,adj:pl:nom:m1:pos,410
7480,coś,coś,qub,410
7481,być,być,inf:imperf,410
7482,-,-,interp,410
7483,powtarzał,powtarzać,praet:sg:m1:imperf,410
7484,w,w,prep:acc:nwok,410
7485,myśli,myśl,subst:sg:gen:f,410
7486,-,-,interp,410
7487,musi,muszy,adj:pl:nom:m1:pos,410
7488,coś,coś,qub,410
7489,być,być,inf:imperf,410
7490,.,.,interp,410
7491,Po,po,prep:acc,411
7492,kwadransie,kwadrans,subst:sg:loc:m2,411
7493,dzwonek,dzwonek,subst:sg:nom:m3,411
7494,zabrzęczał,zabrzęczeć,praet:sg:m1:perf,411
7495,trzykrotnie,trzykrotnie,adv:pos,411
7496,i,i,conj,411
7497,Murek,murek,subst:sg:nom:m3,411
7498,natychmiast,natychmiast,adv:pos,411
7499,wszedł,wejść,praet:sg:m1:perf,411
7500,wszedł,wnijść,praet:sg:m1:perf,411
7501,wszedł,wniść,praet:sg:m1:perf,411
7502,do,do,prep:gen,411
7503,gabinetu,gabinet,subst:sg:gen:m3,411
7504,.,.,interp,411
7505,Niewiarowicz,Niewiarowicz,ign,412
7506,z,z,prep:gen:nwok,412
7507,ponurą,ponury,adj:sg:acc:f:pos,412
7508,miną,mina,subst:sg:inst:f,412
7509,i,i,conj,412
7510,jakby,jakby,comp,412
7511,ociągając,ociągać,pcon:imperf,412
7512,się,się,qub,412
7513,",",",",interp,412
7514,podał,podać,praet:sg:m1:perf,412
7515,mu,on,ppron3:sg:dat:m1:ter:nakc:npraep,412
7516,rękę,ręka,subst:sg:acc:f,412
7517,zza,zza,prep:gen,412
7518,biurka,biurko,subst:sg:gen:n,412
7519,.,.,interp,412
7520,-,-,interp,413
7521,Dziwię,dziwić,fin:sg:pri:imperf,413
7522,się,się,qub,413
7523,bardzo,bardzo,adv:pos,413
7524,-,-,interp,413
7525,zaczął,zacząć,praet:sg:m1:perf,413
7526,oschłym,oschły,adj:sg:inst:m1:pos,413
7527,tonem,ton,subst:sg:inst:m3,413
7528,-,-,interp,413
7529,że,że,comp,413
7530,zaniedbuje,zaniedbywać,fin:sg:ter:imperf,413
7531,pan,pan,subst:sg:nom:m1,413
7532,swoje,swoje,subst:sg:nom:n,413
7533,obowiązki,obowiązek,subst:pl:nom:m3,413
7534,.,.,interp,413
7535,Nie,nie,conj,414
7536,mogę,móc,fin:sg:pri:imperf,414
7537,tolerować,tolerować,inf:imperf,414
7538,tego,to,subst:sg:gen:n,414
7539,",",",",interp,414
7540,by,by,comp,414
7541,m,być,aglt:sg:pri:imperf:nwok,414
7542,musiał,musieć,praet:sg:m1:imperf,414
7543,w,w,prep:acc:nwok,414
7544,godzinach,godzina,subst:pl:loc:f,414
7545,urzędowych,urzędowy,adj:pl:gen:m1:pos,414
7546,szukać,szukać,inf:imperf,414
7547,swoich,swoje,subst:pl:gen:n,414
7548,podwładnych,podwładna,subst:pl:gen:f,414
7549,po,po,prep:acc,414
7550,całym,cały,adj:sg:inst:m1:pos,414
7551,mieście,miasto,subst:sg:loc:n,414
7552,.,.,interp,414
7553,-,-,interp,415
7554,Był,być,praet:sg:m1:imperf,415
7555,em,być,aglt:sg:pri:imperf:wok,415
7556,w,w,prep:acc:nwok,415
7557,Izbie,izba,subst:sg:dat:f,415
7558,Skarbowej,skarbowy,adj:sg:gen:f:pos,415
7559,",",",",interp,415
7560,panie,pan,subst:sg:voc:m1,415
7561,.,.,interp,415
7562,.,.,interp,415
7563,.,.,interp,415
7564,Z,z,prep:gen:nwok,416
7565,prawej,prawa,subst:sg:gen:f,416
7566,strony,strona,subst:sg:gen:f,416
7567,",",",",interp,416
7568,w,w,prep:acc:nwok,416
7569,oddali,oddal,subst:sg:gen:f,416
7570,",",",",interp,416
7571,z,z,prep:gen:nwok,416
7572,białą,biały,adj:sg:acc:f:pos,416
7573,czapą,czapa,subst:sg:inst:f,416
7574,śniegu,śnieg,subst:sg:gen:m3,416
7575,na,na,prep:acc,416
7576,wznoszącym,wznosić,pact:sg:inst:m1:imperf:aff,416
7577,się,się,qub,416
7578,ponad,ponad,qub,416
7579,dwa,dwa,num:pl:nom:m1:rec,416
7580,dwa,dwa,num:pl:nom:m1:rec,416
7581,dwa,dwa,num:pl:nom:m1:rec,416
7582,dwa,dwa,num:pl:nom:m1:rec,416
7583,dwa,dwa,num:pl:nom:m1:rec,416
7584,dwa,dwa,num:pl:nom:m1:rec,416
7585,dwa,dwa,num:pl:nom:m1:rec,416
7586,dwa,dwa,num:pl:nom:m1:rec,416
7587,dwa,dwa,num:pl:nom:m1:rec,416
7588,tysiące,tysiąc,subst:pl:nom:m2,416
7589,dwieście,dwieście,num:pl:nom:m1:rec,416
7590,dwieście,dwieście,num:pl:nom:m1:rec,416
7591,dwieście,dwieście,num:pl:nom:m1:rec,416
7592,dwieście,dwieście,num:pl:nom:m1:rec,416
7593,dwieście,dwieście,num:pl:nom:m1:rec,416
7594,dwieście,dwieście,num:pl:nom:m1:rec,416
7595,dwieście,dwieście,num:pl:nom:m1:rec,416
7596,dwieście,dwieście,num:pl:nom:m1:rec,416
7597,dwieście,dwieście,num:pl:nom:m1:rec,416
7598,dwieście,dwieście,num:pl:nom:m1:rec,416
7599,dwieście,dwieście,num:pl:nom:m1:rec,416
7600,dwieście,dwieście,num:pl:nom:m1:rec,416
7601,dwieście,dwieście,num:pl:nom:m1:rec,416
7602,dwieście,dwieście,num:pl:nom:m1:rec,416
7603,dwieście,dwieście,num:pl:nom:m1:rec,416
7604,metrów,metr,subst:pl:gen:m1,416
7605,nad,nad,prep:acc:nwok,416
7606,poziom,poziom,subst:sg:nom:m3,416
7607,morza,morze,subst:sg:gen:n,416
7608,szczycie,szczyt,subst:sg:loc:m3,416
7609,",",",",interp,416
7610,majestatyczny,majestatyczny,adj:sg:nom:m1:pos,416
7611,masyw,masyw,subst:sg:nom:m3,416
7612,Hermonu,Hermonu,ign,416
7613,.,.,interp,416
7614,Bliżej,blisko,adv:pos,417
7615,",",",",interp,417
7616,na,na,prep:acc,417
7617,ołowianoszarej,ołowianoszary,adj:sg:gen:f:pos,417
7618,skale,skala,subst:pl:nom:f,417
7619,",",",",interp,417
7620,ruiny,ruina,subst:sg:gen:f,417
7621,warowni,warownia,subst:sg:gen:f,417
7622,",",",",interp,417
7623,jak,jak,conj,417
7624,z,z,prep:gen:nwok,417
7625,posępnej,posępny,adj:sg:gen:f:pos,417
7626,baśni,baśń,subst:sg:gen:f,417
7627,.,.,interp,417
7628,Hen,hen,adv:pos,418
7629,na,na,prep:acc,418
7630,południeFortyfikacje,południeFortyfikacje,ign,418
7631,wznieśli,wznieść,praet:pl:m1:perf,418
7632,krzyżowcy,krzyżowiec,subst:pl:nom:m1,418
7633,.,.,interp,418
7634,Punkt,punkt,subst:sg:nom:m3,419
7635,wybrali,wybrać,praet:pl:m1:perf,419
7636,doskonale,doskonale,adv:pos,419
7637,",",",",interp,419
7638,bo,bo,comp,419
7639,z,z,prep:gen:nwok,419
7640,murów,mur,subst:pl:gen:m3,419
7641,wzrok,wzrok,subst:sg:nom:m3,419
7642,sięgać,sięgać,inf:imperf,419
7643,musiał,musieć,praet:sg:m1:imperf,419
7644,daleko,daleko,adv:pos,419
7645,",",",",interp,419
7646,hen,hen,adv:pos,419
7647,na,na,prep:acc,419
7648,południe,południe,subst:sg:nom:n,419
7649,",",",",interp,419
7650,ku,ku,prep:dat,419
7651,błękitowi,błękit,subst:sg:dat:m3,419
7652,owianego,owiać,ppas:sg:gen:m1:perf:aff,419
7653,mgiełką,mgiełka,subst:sg:inst:f,419
7654,jeziora,jezioro,subst:sg:gen:n,419
7655,Genezaret,Genezaret,subst:sg:nom:m3,419
7656,i,i,conj,419
7657,po,po,prep:acc,419
7658,szczyty,szczyt,subst:pl:nom:m3,419
7659,wzgórz,wzgórze,subst:pl:gen:n,419
7660,Libanu,Liban,subst:sg:gen:m3,419
7661,na,na,prep:acc,419
7662,zachodzie,zachód,subst:sg:loc:m3,419
7663,.,.,interp,419
7664,Żaden,żaden,adj:sg:nom:m1:pos,420
7665,pieszy,pieszy,subst:sg:nom:m1,420
7666,",",",",interp,420
7667,żaden,żaden,adj:sg:nom:m1:pos,420
7668,jeździec,jeździec,subst:sg:nom:m1,420
7669,nie,nie,conj,420
7670,zdołał,zdołać,praet:sg:m1:perf,420
7671,by,by,qub,420
7672,się,się,qub,420
7673,przemknąć,przemknąć,inf:perf,420
7674,niepostrzeżenie,niepostrzeżenie,adv:pos,420
7675,z,z,prep:gen:nwok,420
7676,Judei,Judea,subst:sg:gen:f,420
7677,przez,przez,prep:acc:nwok,420
7678,Galileę,Galilea,subst:sg:acc:f,420
7679,na,na,prep:acc,420
7680,północ,północ,subst:sg:nom:f,420
7681,",",",",interp,420
7682,nad,nad,prep:acc:nwok,420
7683,libańską,libański,adj:sg:acc:f:pos,420
7684,rzekę,rzeka,subst:sg:acc:f,420
7685,zwaną,zwać,ppas:sg:acc:f:imperf:aff,420
7686,dziś,dziś,adv:pos,420
7687,Bekaa,Bekaa,ign,420
7688,.,.,interp,420
7689,Strategiczne,strategiczny,adj:sg:nom:n:pos,421
7690,znaczenie,znaczenie,subst:sg:nom:n,421
7691,tego,to,subst:sg:gen:n,421
7692,miejsca,miejsce,subst:sg:gen:n,421
7693,doceniano,doceniać,imps:imperf,421
7694,też,też,qub,421
7695,w,w,prep:acc:nwok,421
7696,naszych,nasi,subst:pl:gen:m1,421
7697,czasach,czas,subst:pl:loc:m3,421
7698,",",",",interp,421
7699,gdy,gdy,adv:pos,421
7700,biblijne,biblijny,adj:sg:nom:n:pos,421
7701,ziemie,ziemia,subst:pl:nom:f,421
7702,zbrojnie,zbrojnie,adv:pos,421
7703,podzielili,podzielić,praet:pl:m1:perf,421
7704,między,między,prep:acc,421
7705,siebie,siebie,siebie:gen,421
7706,przybyli,przybyły,subst:pl:nom:m1,421
7707,tu,tu,adv:pos,421
7708,z,z,prep:gen:nwok,421
7709,całego,cały,adj:sg:gen:m1:pos,421
7710,świata,świat,subst:sg:gen:m3,421
7711,Żydzi,Żyd,subst:pl:nom:m1,421
7712,Żydzi,żyd,subst:pl:nom:m1,421
7713,i,i,conj,421
7714,zasiedziali,zasiedziały,adj:pl:nom:m1:pos,421
