,base,parts_of_speech,n_occurrences
4289,Serapisowi,?,1
4290,patron,rzecz,20
4291,ufundować,czas,15
4292,Nikopolis,?,1
4293,zamieszkiwać,czas,47
4294,Atena,rzecz,23
4295,Bratysława,rzecz,4
4296,Cleveland,rzecz,10
4297,Konstanca,?,1
4298,Durban,?,1
4299,Odessa,rzecz,15
4300,Sankt,?,16
4301,hydria,rzecz,1
4302,Hadra,?,1
4303,Masr,?,1
4304,Strabon,?,1
4305,geografia,rzecz,75
4306,XVII,rzecz,44
4307,Paris,?,9
4308,Peter,rzecz,49
4309,L,rzecz,145
4310,Hammond,rzecz,1
4311,Grecja,rzecz,47
4312,Ossolineum,rzecz,9
4313,04647,rzecz,1
4314,rozegrać,czas,75
4315,olimpiada,rzecz,57
4316,Nicea,rzecz,9
4317,Medellín,?,5
4318,<,?,46
4319,BR,rzecz,29
4320,>,?,38
4321,końcowy,przym,82
4322,finał,rzecz,127
4323,74,rzecz,33
4324,osiem,rzecz,1235
4325,kołowy,przym,5
4326,Ewaryst,rzecz,3
4327,Seweryn,rzecz,10
4328,Pawełczyk,?,3
4329,Charlottenburgu,?,1
4330,farmaceuta,rzecz,16
4331,katedra,rzecz,161
4332,chemia,rzecz,32
4333,farmaceutyczny,przym,84
4334,Kościuszko,rzecz,17
4335,Jarocin,rzecz,2
4336,Poznańskie,rzecz,33
4337,przerwa,rzecz,48
4338,asystent,rzecz,56
4339,stażysta,rzecz,3
4340,Adamanisa,?,1
4341,równolegle,przys,28
4342,przemysł,rzecz,68
4343,zielarski,przym,8
4344,1954,rzecz,106
4345,hodowla,rzecz,31
4346,roślina,rzecz,255
4347,doktorat,rzecz,29
4348,liście,rzecz,45
4349,pokrzyk,rzecz,3
4350,dojrzałość,rzecz,33
4351,wegetatywny,przym,8
4352,docent,rzecz,21
4353,dziekan,rzecz,31
4354,analityka,rzecz,4
4355,przewodnicząca,rzecz,46
4356,szkolnictwo,rzecz,15
4357,opieka,rzecz,97
4358,społeczny,przym,181
4359,PZF,?,1
4360,Polfa,rzecz,7
4361,współautor,rzecz,32
4362,221,rzecz,12
4363,35,rzecz,147
4364,zastrzec,czas,8
4365,patent,rzecz,7
4366,redagować,czas,17
4367,podręcznik,rzecz,54
4368,trwałość,rzecz,15
4369,monograficzny,przym,7
4370,farmakopea,rzecz,5
4371,Acta,?,3
4372,Poloniae,?,2
4373,Pharmaceutica,?,3
4374,przyjaciel,rzecz,207
4375,prezydium,rzecz,15
4376,komitet,rzecz,115
4377,odznaka,rzecz,109
4378,poznański,przym,49
4379,zielonogórski,przym,2
4380,gorzowski,przym,1
4381,wpisać,czas,40
4382,zasłużona,rzecz,13
4383,Wielkopolanin,rzecz,1
4384,Marcinkowski,rzecz,16
4385,pięciokrotnie,przys,22
4386,indywidualnie,przys,64
4387,zespołowo,przys,3
4388,Biegański,rzecz,1
4389,trzykrotnie,przys,47
4390,wybierany,przym,12
4391,emerytura,rzecz,33
4392,naukowo,przys,32
4393,dydaktycznie,przys,1
4394,aleja,rzecz,26
4395,komunalny,przym,8
4396,Miłostowie,?,1
4397,Marianna,rzecz,5
4398,Zając,rzecz,9
4399,zając,rzecz,12
4400,Anna,rzecz,157
4401,Jelińska,?,1
4402,dr,rzecz,140
4403,n,?,79
4404,farma,rzecz,11
4405,farmacja,rzecz,27
4406,Tom,rzecz,51
4407,65,rzecz,75
4408,ISSN,rzecz,33
4409,0014,rzecz,1
4410,8261,rzecz,1
4411,Consolidated,?,11
4412,PB2Y,?,6
4413,Coronado,?,5
4414,patrolowy,przym,18
4415,zbudować,czas,381
4416,wytwórnia,rzecz,101
4417,Aircraft,?,38
4418,Corporation,?,29
4419,znacznie,przys,137
4420,PBY,?,2
4421,Catalina,?,2
4422,prototyp,rzecz,196
4423,XPB2Y,?,1
4424,oblatać,czas,26
4425,1940,rzecz,217
4426,US,rzecz,94
4427,Navy,?,70
4428,216,rzecz,10
4429,czego,przys,109
4430,210,rzecz,17
4431,Atlantyk,rzecz,16
4432,Oceania,rzecz,11
4433,spokojny,przym,24
4434,użytkować,czas,18
4435,RAF,rzecz,30
4436,Coastal,?,2
4437,Brytyjczyk,rzecz,38
4438,zamierzać,czas,31
4439,maszyna,rzecz,384
4440,Short,?,8
4441,Sunderland,?,1
4442,zmusić,czas,76
4443,okręt,rzecz,404
4444,podwodne,rzecz,59
4445,korzyść,rzecz,24
4446,demontować,czas,3
4447,strzelecki,przym,27
4448,postępować,czas,23
4449,transatlantycki,przym,4
4450,Pacyfik,rzecz,29
4451,marynarka,rzecz,120
4452,Naval,?,14
4453,Air,?,75
4454,Service,?,16
4455,jedyny,rzecz,59
4456,udostępnić,czas,14
4457,Aviation,?,28
4458,Pensacola,?,1
4459,Floryda,rzecz,17
4460,konstrukcja,rzecz,370
4461,czterosilnikowy,przym,8
4462,sterowy,przym,5
4463,pokryć,czas,70
4464,płótno,rzecz,30
4465,usterzenie,rzecz,36
4466,poziomy,przym,31
4467,wznios,rzecz,3
4468,statecznik,rzecz,22
4469,cylindrowy,przym,24
4470,tłokowy,przym,10
4471,Vultee,?,1
4472,46,rzecz,70
4473,364215,rzecz,7
4474,Jacqueline,?,1
4475,Jill,?,2
4476,Jackie,?,8
4477,Collins,rzecz,16
4478,sensacyjno,?,2
4479,obyczajowy,przym,5
4480,Elsa,?,3
4481,Bessant,?,1
4482,nauczycielka,rzecz,23
4483,starsza,rzecz,59
4484,Joan,?,6
4485,1933,rzecz,133
4486,aktorka,rzecz,24
4487,młody,przym,95
4488,Bill,rzecz,49
4489,1946,rzecz,136
4490,nieruchomości,rzecz,55
4491,odnosić,czas,79
4492,sukces,rzecz,248
4493,Hollywood,rzecz,11
4494,zasłynąć,czas,15
4495,sławny,przym,16
4496,przełożona,rzecz,11
4497,wielomilionowy,przym,1
4498,nakład,rzecz,80
4499,doczekać,czas,39
4500,ekranizacja,rzecz,14
4501,choćby,?,10
4502,pokolenie,rzecz,75
4503,uśmiech,rzecz,8
4504,los,rzecz,103
4505,Lucky,?,4
4506,Chances,?,1
4507,lada,rzecz,21
4508,lady,rzecz,18
4509,boss,rzecz,11
4510,pisać,czas,127
4511,jakiś,przym,67
4512,krawędź,rzecz,44
4513,marzyć,czas,9
4514,marne,rzecz,2
4515,producent,rzecz,109
4516,prosty,przym,64
4517,złe,rzecz,48
4518,chłopiec,rzecz,74
4519,tu,przys,219
4520,przyjeżdżać,czas,6
4521,nic,rzecz,56
4522,bohaterka,rzecz,22
4523,silny,przym,160
4524,niezależny,przym,52
4525,wyjść,czas,57
4526,wynijść,czas,49
4527,wyniść,czas,49
4528,zaledwie,?,70
4529,Wallace,rzecz,2
4530,Austin,rzecz,11
4531,przedawkować,czas,10
4532,narkotyk,rzecz,32
4533,1963,rzecz,77
4534,Oscar,rzecz,13
4535,Lermanem,?,1
4536,modny,przym,5
4537,dyskoteka,rzecz,4
4538,rak,rzecz,52
4539,nieformalny,przym,9
4540,Franek,rzecz,6
4541,Frank,rzecz,32
4542,Calcagnini,?,2
4543,biznesmen,rzecz,11
4544,Angeles,rzecz,21
4545,sześć,rzecz,2123
4546,pobrać,czas,18
4547,Samsung,?,38
4548,Galaxy,?,72
4549,smartfon,rzecz,25
4550,koreański,przym,32
4551,firma,rzecz,451
4552,zaprezentować,czas,84
4553,konferencja,rzecz,44
4554,prasowy,przym,28
4555,Earls,?,1
4556,Court,?,7
4557,hasło,rzecz,39
4558,marketingowy,przym,3
4559,Designed,?,1
4560,Humans,?,2
4561,inspired,?,1
4562,Nature,?,3
4563,natura,rzecz,80
4564,1280,rzecz,11
4565,720,rzecz,15
4566,piksel,rzecz,28
4567,wprowadzić,czas,252
4568,Voice,?,18
4569,Smart,?,5
4570,alert,rzecz,2
4571,Stay,?,1
4572,premiera,rzecz,40
4573,rynkowy,przym,17
4574,urządzenie,rzecz,219
4575,telefon,rzecz,80
4576,kolor,rzecz,187
4577,Sapphire,?,2
4578,black,?,2
4579,Marble,?,3
4580,White,rzecz,26
4581,Brown,rzecz,13
4582,szary,przym,29
4583,Titanium,?,2
4584,grey,?,1
4585,niebieski,przym,90
4586,Pebble,?,1
4587,blue,?,1
4588,czerwona,rzecz,153
4589,Garnet,?,1
4590,reda,rzecz,181
4591,ekran,rzecz,75
4592,Samsunga,?,3
4593,przekątna,rzecz,12
4594,HD,?,29
4595,SuperAMOLED,?,1
4596,technologia,rzecz,101
4597,wyświetlacz,rzecz,41
4598,zapewniać,czas,55
4599,szeroki,przym,121
4600,widzenie,rzecz,70
4601,przekłamanie,rzecz,2
4602,obraz,rzecz,201
4603,patrzenie,rzecz,4
4604,teoretycznie,przys,17
4605,nieskończony,przym,2
4606,kontrast,rzecz,9
4607,nasycenie,rzecz,6
4608,użytkownik,rzecz,75
4609,nienaturalny,przym,1
4610,306,rzecz,9
4611,cal,rzecz,27
4612,układ,rzecz,505
4613,PenTile,?,1
4614,skutkować,czas,17
4615,obniżenie,rzecz,45
4616,postrzępić,czas,2
4617,zaleta,rzecz,37
4618,mniejszy,rzecz,106
4619,pobór,rzecz,14
4620,energia,rzecz,153
4621,procesor,rzecz,114
4622,quad,rzecz,11
4623,core,?,3
4624,rdzeń,rzecz,41
4625,Exynos,?,4
4626,4412,rzecz,1
4627,taktować,czas,28
4628,GHz,?,51
4629,32nm,?,1
4630,nm,?,16
4631,prąd,rzecz,43
4632,Eyxnos,?,1
4633,dual,rzecz,4
4634,4210,rzecz,1
4635,i9100,?,3
4636,grafik,rzecz,33
4637,zintegrować,czas,28
4638,ARM,?,11
4639,Mali,rzecz,8
4640,400,rzecz,90
4641,Core,?,27
4642,OC,rzecz,18
4643,serwis,rzecz,46
4644,Engadget.com,rzecz,1
4645,twierdzić,czas,40
4646,zastosowany,przym,29
4647,graficzny,przym,40
4648,wydajny,przym,10
4649,I9300,?,1
4650,1024,rzecz,11
4651,MB,rzecz,57
4652,LP,rzecz,1
4653,DDR2,?,5
4654,Memory,?,11
4655,wybór,rzecz,76
4656,64,rzecz,80
4657,gigabajt,?,56
4658,dyskowy,przym,8
4659,dodatkowo,przys,97
4660,rozszerzyć,czas,55
4661,microSD,?,6
4662,microSDHC,?,3
4663,microSDXC,?,1
4664,pojemność,rzecz,109
4665,oferować,czas,67
4666,Dropbox,?,1
4667,aparat,rzecz,122
4668,robić,czas,54
4669,megapiksel,rzecz,18
4670,nagrywać,czas,27
4671,full,rzecz,18
4672,1920x1080,?,2
4673,fps,?,3
4674,zrobić,czas,79
4675,wideo,rzecz,32
4676,usprawnienie,rzecz,6
4677,podświetlić,czas,3
4678,matryca,rzecz,15
4679,ang,?,375
4680,backside,?,1
4681,illuminated,?,1
4682,BSI,?,1
4683,usprawnić,czas,2
4684,HDR,?,3
4685,wykonanie,rzecz,119
4686,panoramiczny,przym,3
4687,tryb,rzecz,137
4688,przód,rzecz,63
4689,jakość,rzecz,101
4690,720p,?,4
4691,1280x720,?,2
4692,operacyjny,przym,177
4693,fabrycznie,przys,2
4694,zarządzać,czas,20
4695,android,rzecz,27
4696,Cream,?,4
4697,Sandwich,?,3
4698,wzbogacić,czas,31
4699,autorski,przym,24
4700,nakładka,rzecz,10
4701,TouchWiz,?,4
4702,UX,?,1
4703,aktualizacja,rzecz,23
4704,Jelly,?,2
4705,Bean,rzecz,4
4706,bean,rzecz,4
4707,zapowiedzieć,czas,27
4708,kwartał,rzecz,16
4709,planować,czas,129
4710,kit,rzecz,6
4711,kat,rzecz,70
4712,tłumaczyć,czas,28
4713,nowo,przys,56
4714,SGS,?,2
4715,odblokować,czas,9
4716,alarm,rzecz,12
4717,odebrać,czas,52
4718,głośność,rzecz,5
4719,dotykać,czas,10
4720,Social,?,1
4721,tag,rzecz,3
4722,ustawienie,rzecz,28
4723,portal,rzecz,38
4724,społecznościowy,przym,5
4725,zidentyfikować,czas,34
4726,galeria,rzecz,73
4727,Direct,?,4
4728,call,?,1
4729,pisanie,rzecz,43
4730,wiadomości,rzecz,23
4731,tekstowy,przym,4
4732,SMS,rzecz,69
4733,sms,rzecz,69
4734,telefoniczny,przym,10
4735,odbiorca,rzecz,25
4736,stay,?,1
4737,przedni,przym,70
4738,kamera,rzecz,61
4739,śledź,rzecz,3
4740,korzystać,czas,87
4741,zapobiegać,czas,17
4742,ściemniać,czas,2
4743,czytanie,rzecz,11
4744,booka,?,1
4745,przeglądać,czas,5
4746,internetowy,przym,66
4747,powiadamiać,czas,1
4748,Universal,rzecz,9
4749,Search,?,3
4750,wyszukiwarka,rzecz,2
4751,systemowy,przym,15
4752,wyszukiwać,czas,4
4753,zasoby,rzecz,31
4754,Google,rzecz,22
4755,sprawdzać,czas,31
4756,nasi,rzecz,18
4757,pasować,czas,4
4758,zadany,przym,3
4759,zapytanie,rzecz,8
4760,łamanie,rzecz,8
4761,obudowa,rzecz,29
4762,poliwęglan,rzecz,3
4763,obrabiać,czas,2
4764,Hyperglaze,?,1
4765,nadawać,czas,107
4766,błysk,rzecz,7
4767,hartować,czas,5
4768,szkło,rzecz,33
4769,Corning,?,1
4770,Gorilla,?,2
4771,Glass,?,9
4772,i9300,?,4
4773,wygląd,rzecz,81
4774,poprzednik,rzecz,40
4775,i9000,?,3
4776,cienki,przym,31
4777,wydajność,rzecz,35
4778,GSM,rzecz,2
4779,arena,rzecz,31
4780,test,rzecz,121
4781,benchmark,rzecz,3
4782,pi,rzecz,4
4783,344,rzecz,3
4784,pkt,rzecz,98
4785,Linpack,?,1
4786,177,rzecz,8
4787,Quadrant,?,1
4788,5365,rzecz,1
4789,NenaMark,?,1
4790,58,rzecz,62
4791,GLBenchmark,?,1
4792,Egypt,?,7
4793,offscreen,?,1
4794,103,rzecz,23
4795,SunSpider,?,1
4796,1406,rzecz,1
4797,koleja,rzecz,84
4798,BrowserMark,?,1
4799,zdeklasować,czas,1
4800,rywal,rzecz,16
4801,169,rzecz,5
4802,811,rzecz,4
4803,odbiór,rzecz,26
4804,recenzja,rzecz,14
4805,Chip.pl,rzecz,1
4806,słaby,przym,82
4807,tworzywo,rzecz,10
4808,dopracować,czas,14
4809,głosowy,przym,9
4810,Spidersweb.pl,rzecz,1
4811,krytykować,czas,31
4812,żywotność,rzecz,5
4813,bateria,rzecz,50
4814,laga,rzecz,1
4815,samoistny,przym,19
4816,restart,rzecz,2
4817,wieszać,czas,2
4818,problem,rzecz,183
4819,zasiąg,rzecz,60
4820,wybudzić,czas,1
4821,naładować,czas,8
4822,blokować,czas,23
4823,narzekać,czas,4
4824,zakończenie,rzecz,192
4825,fabryczny,przym,12
4826,wadliwy,przym,5
4827,płyt,rzecz,78
4828,potrafić,czas,87
4829,nagle,przys,20
4830,wyłączyć,czas,20
4831,sytuacja,rzecz,166
4832,ładować,czas,20
4833,noc,rzecz,131
4834,następny,rzecz,82
4835,rano,przys,28
4836,chcieć,czas,183
4837,uruchomić,czas,90
4838,rewizja,rzecz,10
4839,rozmowa,rzecz,67
4840,oglądać,czas,34
4841,internet,rzecz,46
4842,docenić,czas,10
4843,zyskiwać,czas,13
4844,zyskować,czas,13
4845,EISA,?,2
4846,S4,?,3
4847,i9500,?,1
4848,następca,rzecz,106
4849,S5,?,1
4850,chip.pl,rzecz,2
4851,android.pl,rzecz,1
4852,gsmarena.com,rzecz,1
4853,telepolis.pl,rzecz,1
4854,pclab.pl,rzecz,1
4855,komorkomania.pl,rzecz,1
4856,Hela,rzecz,18
4857,hela,rzecz,15
4858,he,?,32
4859,helium,?,2
4860,pierwiastek,rzecz,200
4861,atomowy,przym,85
4862,helowiec,rzecz,2
4863,gaz,rzecz,82
4864,szlachetny,rzecz,23
4865,wodór,rzecz,96
4866,wszechświat,rzecz,29
4867,Ziemia,rzecz,172
4868,ziemia,rzecz,324
4869,śladowy,przym,14
4870,warstwa,rzecz,93
4871,atmosfera,rzecz,57
4872,obj,?,2
4873,rozpad,rzecz,74
4874,jądro,rzecz,60
4875,promieniotwórczy,przym,28
4876,litosfera,rzecz,1
4877,hel,rzecz,28
4878,ziemny,przym,11
4879,dochodzić,czas,64
4880,bardzo,przys,619
4881,praktycznie,przys,40
4882,żaden,przym,164
4883,izotop,rzecz,134
4884,trwała,rzecz,56
4885,3He,?,4
4886,4He,?,1
4887,nietrwała,rzecz,4
4888,T½,?,5
4889,6He,?,1
4890,8He,?,2
4891,jonizacja,rzecz,7
4892,krótko,przys,46
4893,cząsteczka,rzecz,40
4894,HeNe,?,1
4895,jon,rzecz,49
4896,He2,?,1
4897,biologiczny,przym,44
4898,odkrycie,przys,77
4899,słońce,rzecz,72
4900,całkowity,przym,98
4901,zaćmienie,rzecz,13
4902,Indie,rzecz,88
4903,astronom,rzecz,11
4904,Janssen,?,11
4905,badać,czas,27
4906,korona,rzecz,90
4907,słoneczny,przym,49
4908,zaobserwować,czas,27
4909,pomarańczowy,przym,46
4910,prążek,rzecz,7
4911,odpowiadać,czas,103
4912,fala,rzecz,95
4913,5876,rzecz,2
4914,przypisać,czas,20
4915,spośród,?,75
4916,Norman,rzecz,15
4917,Lockyer,?,2
4918,chemik,rzecz,9
4919,Edward,rzecz,60
4920,Frankland,?,1
4921,emitować,czas,110
4922,Helios,rzecz,1
4923,1895,rzecz,38
4924,Ramsay,?,3
4925,potraktować,czas,4
4926,kleweitu,?,1
4927,uranowy,przym,4
4928,kwas,rzecz,90
4929,mineralny,przym,21
4930,przesłać,czas,12
4931,próbka,rzecz,63
4932,Crookesa,?,1
4933,Lockyera,?,1
4934,ciekły,przym,27
4935,bezwzględny,przym,15
4936,ciśnienie,rzecz,104
4937,atmosferyczny,przym,29
4938,zestalać,czas,1
4939,podwyższyć,czas,40
4940,krzepnąć,czas,5
4941,przemiana,rzecz,25
4942,fazowy,przym,18
4943,nadciekły,przym,1
4944,nadstały,przym,1
4945,potrzebny,rzecz,49
4946,ekstremalnie,przys,3
4947,wrzenie,rzecz,7
4948,nadprzewodnik,rzecz,1
4949,bezpieczny,przym,22
4950,niepalny,przym,2
4951,aerostat,rzecz,2
4952,balon,rzecz,24
4953,sterowiec,rzecz,4
4954,pozyskanie,rzecz,9
4955,ogrzać,czas,5
4956,mieszanka,rzecz,16
4957,głęboki,przym,63
4958,nurkowanie,rzecz,3
4959,kontrapulsacja,rzecz,1
4960,wewnątrzaortalny,przym,1
4961,cewnik,rzecz,1
4962,wprowadazany,?,1
4963,aorta,rzecz,26
4964,udowy,przym,5
4965,napełniać,czas,10
4966,opróżniać,czas,1
4967,rytm,rzecz,15
4968,serce,rzecz,133
4969,wspomagać,czas,17
4970,krążenie,rzecz,17
4971,mieszanina,rzecz,35
4972,tlen,rzecz,44
4973,wentylacja,rzecz,5
4974,mechaniczny,przym,80
4975,obturacją,?,1
4976,gęstość,rzecz,39
4977,azot,rzecz,57
4978,obniżać,czas,22
4979,indeks,rzecz,6
4980,Reynolds,rzecz,5
4981,charakter,rzecz,175
4982,przepływ,rzecz,42
4983,oddechowy,przym,24
4984,turbulentny,przym,1
4985,laminarny,przym,2
4986,istotnie,przys,8
4987,opora,rzecz,28
4988,eksperymentalny,przym,41
4989,wdrożyć,czas,7
4990,powszechny,przym,76
4991,praktyka,rzecz,70
4992,kliniczny,przym,136
4993,drganie,rzecz,16
4994,komora,rzecz,74
4995,rezonansowy,przym,6
4996,jaka,rzecz,43
4997,dźwięk,rzecz,90
4998,hipotetycznie,przys,3
4999,kontrolowany,przym,20
5000,termojądrowy,przym,4
5001,deuter,rzecz,16
5002,powstawanie,rzecz,31
5003,odpad,rzecz,23
5004,śladowo,przys,1
5005,grunt,rzecz,51
5006,księżycowy,przym,7
5007,rozważać,czas,9
5008,wydobycie,rzecz,16
5009,Księżyc,rzecz,29
5010,księżyc,rzecz,56
5011,otrzymywać,czas,156
5012,przeróbka,rzecz,12
5013,skroplić,czas,2
5014,destylacja,rzecz,6
5015,frakcjonować,czas,2
5016,górnictwo,rzecz,5
5017,naftowy,przym,14
5018,gazownictwo,rzecz,1
5019,jedyna,rzecz,146
5020,terytorium,rzecz,77
5021,unia,rzecz,64
5022,pozyskiwać,czas,15
5023,odazotowni,?,2
5024,Odolanów,rzecz,1
5025,Ostrów,rzecz,17
5026,wielkopolski,przym,49
5027,dwuletni,przym,12
5028,modernizacja,rzecz,56
5029,wzrosnąć,czas,5
5030,ergonomiczność,rzecz,1
5031,PGNiG,rzecz,1
5032,Turcja,rzecz,38
5033,bałkański,przym,13
5034,Mykoła,?,2
5035,Popowycz,?,1
5036,ukraiński,rzecz,101
5037,biegacz,rzecz,13
5038,narciarski,przym,119
5039,olimpijczyk,rzecz,14
5040,nagana,rzecz,9
5041,fis,rzecz,13
5042,raca,rzecz,21
5043,Candanchu,?,1
5044,styl,rzecz,148
5045,dowolny,przym,74
5046,igrzyska,rzecz,236
5047,igrzysko,rzecz,236
5048,olimpijski,przym,246
5049,2014,rzecz,151
5050,zezwolenie,rzecz,12
5051,organ,rzecz,102
5052,zezwalający,przym,1
5053,odmówić,czas,30
5054,jeśli,?,151
5055,wymoga,rzecz,14
5056,koncesja,rzecz,14
5057,pozwolenie,rzecz,18
5058,podstępny,przym,3
5059,gra,rzecz,892
5060,Hong,?,5
5061,Men,rzecz,46
5062,Yan,?,7
5063,chiński,rzecz,330
5064,cesarstwo,rzecz,37
5065,targać,czas,8
5066,rządząca,rzecz,13
5067,dynastia,rzecz,181
5068,Qin,?,8
5069,panować,czas,24
5070,rebeliant,rzecz,4
5071,Liu,?,26
5072,Bang,?,3
5073,Xiang,?,4
5074,Yu,?,15
5075,postanawiać,czas,39
5076,przejąć,czas,72
5077,rodzić,czas,29
5078,nieufność,rzecz,3
5079,rywalizacja,rzecz,45
5080,obsada,rzecz,96
5081,lai,rzecz,2
5082,Feng,?,6
5083,Shaofeng,?,1
5084,Yifei,?,1
5085,Consort,?,5
5086,Zhang,?,13
5087,Hanyu,?,2
5088,Liang,?,3
5089,Anthony,?,14
5090,Wong,?,10
5091,Zeng,?,1
5092,Jordan,rzecz,16
5093,chan,rzecz,266
5094,Kuai,?,1
5095,han,rzecz,33
5096,Xin,?,3
5097,Xiu,?,2
5098,Qing,?,23
5099,Xiao,?,3
5100,Jia,?,2
5101,zabójczyni,rzecz,1
5102,Ding,?,8
5103,Haifeng,?,1
5104,Zhuang,?,1
5105,Zhao,?,8
5106,Huinan,?,2
5107,Lockheed,?,29
5108,Starfire,?,3
5109,myśliwiec,rzecz,140
5110,przechwytywać,czas,19
5111,all,?,4
5112,weather,?,2
5113,interceptor,?,2
5114,starzeć,czas,3
5115,oblicze,rzecz,31
5116,myśliwski,przym,91
5117,Northrop,?,9
5118,P,?,201
5119,Black,?,50
5120,Widow,?,4
5121,North,?,21
5122,American,?,42
5123,82,rzecz,33
5124,Twin,?,4
5125,mustang,rzecz,2
5126,radziecki,przym,286
5127,bombowiec,rzecz,84
5128,bazować,czas,52
5129,wczesny,przym,175
5130,TF,?,9
5131,80C,?,2
5132,T,?,361
5133,Shooting,?,4
5134,dwumiejscowy,przym,38
5135,treningowy,przym,22
5136,dodać,czas,52
5137,radar,rzecz,94
5138,Hughes,?,7
5139,AN,?,22
5140,APG,?,4
5141,Sperry,?,1
5142,1C,?,1
5143,przedłużyć,czas,17
5144,zmieścić,czas,5
5145,kontrakt,rzecz,55
5146,podpisać,czas,116
5147,1949,rzecz,128
5148,ekwipunek,rzecz,7
5149,wymusić,czas,9
5150,Allison,?,3
5151,J33,?,3
5152,dopalacz,rzecz,11
5153,produkcyjny,przym,49
5154,elektronika,rzecz,17
5155,pociągnąć,czas,12
5156,końcówka,rzecz,23
5157,94A,?,3
5158,Browning,rzecz,5
5159,M2,?,11
5160,przenosić,czas,123
5161,podczepić,czas,1
5162,bomba,rzecz,79
5163,1000,rzecz,71
5164,funtowy,przym,8
5165,109,rzecz,10
5166,94B,?,4
5167,wejść,czas,168
5168,wnijść,czas,155
5169,wniść,czas,155
5170,niezawodny,przym,8
5171,ILS,?,1
5172,356,rzecz,7
5173,oficjalnie,przys,75
5174,94C,?,6
5175,różnić,czas,76
5176,97,rzecz,24
5177,ostatecznie,przys,178
5178,traktować,czas,58
5179,rozwojowy,przym,48
5180,zainteresowana,rzecz,13
5181,prywatnie,przys,4
5182,Lockheeda,?,3
5183,osiąg,rzecz,78
5184,potężny,przym,63
5185,Rolls,?,29
5186,Royce,?,28
5187,Tay,?,2
5188,powiększyć,czas,38
5189,zrezygnować,czas,64
5190,działka,rzecz,44
5191,rakieta,rzecz,202
5192,FFAR,?,2
5193,kaliber,rzecz,88
5194,wokół,przys,93
5195,proponować,czas,33
5196,myśliwsko,przys,32
5197,bombowy,przym,59
5198,gwiezdny,przym,19
5199,94D,?,2
5200,M61,?,2
5201,Vulcan,?,6
5202,wysłać,czas,98
5203,wziąć,czas,212
5204,zestrzeliwać,czas,1
5205,nieprzyjaciel,rzecz,36
5206,59,rzecz,37
5207,dywizjon,rzecz,199
5208,stacjonować,czas,50
5209,Goose,?,7
5210,Bay,?,21
5211,eskadra,rzecz,84
5212,baza,rzecz,251
5213,Thule,?,4
5214,DEW,?,1
5215,Distant,?,1
5216,Early,?,2
5217,warning,?,1
5218,ostrzegać,czas,13
5219,Grenlandia,rzecz,5
5220,USAF,?,6
5221,gwardia,rzecz,33
5222,Guard,?,6
5223,ANG,?,25
5224,387,rzecz,1
5225,montować,czas,41
5226,dziób,rzecz,19
5227,moment,rzecz,154
5228,oddawać,czas,43
5229,strzał,rzecz,28
5230,oślepiać,czas,2
5231,podczepiać,czas,1
5232,wycofać,czas,122
5233,1959,rzecz,108
5234,YF,?,13
5235,33A,?,1
5236,serrii,?,1
5237,współcześnie,przys,36
5238,Edwards,?,4
5239,Base,?,9
5240,Kalifornia,rzecz,28
5241,78,rzecz,39
5242,1732,rzecz,8
5243,5323,rzecz,5
5244,man,rzecz,168
5245,bus,rzecz,8
5246,spółka,?,130
5247,należąca,rzecz,69
5248,koncern,rzecz,40
5249,autobus,rzecz,46
5250,finalny,przym,5
5251,sad,rzecz,18
5252,podgórny,przym,5
5253,szkielet,rzecz,34
5254,stalowy,przym,71
5255,podwozie,rzecz,90
5256,autobusowy,przym,12
5257,podzespół,rzecz,19
5258,Starachowice,rzecz,7
5259,fabryka,rzecz,68
5260,ciężarówka,rzecz,31
5261,STAR,rzecz,6
5262,Trucks,?,12
5263,Busses,?,5
5264,''',?,3
5265,zapadły,przym,9
5266,realizować,czas,59
5267,montaż,rzecz,60
5268,wynająć,czas,7
5269,hala,rzecz,31
5270,Cegielski,rzecz,1
5271,omijać,czas,4
5272,celny,przym,42
5273,początkowy,przym,57
5274,powstać,czas,196
5275,neoman,rzecz,4
5276,Aga,rzecz,21
5277,aga,rzecz,21
5278,neoplan,rzecz,5
5279,odłączyć,czas,19
5280,nadwozie,rzecz,60
5281,komponent,rzecz,3
5282,Salzgitter,?,1
5283,kablowy,przym,3
5284,Nutzfahrzeuge,?,1
5285,klient,rzecz,30
5286,certyfikat,rzecz,23
5287,ISO,rzecz,15
5288,9001,rzecz,3
5289,napędzać,czas,92
5290,CNG,?,4
5291,eksporter,rzecz,1
5292,przejęcie,rzecz,26
5293,kabina,rzecz,53
5294,kierowca,rzecz,113
5295,sprzedaż,rzecz,129
5296,kilkaset,rzecz,510
5297,Grazu,?,6
5298,Steyr,?,9
5299,jesień,rzecz,57
5300,Lion's,?,9
5301,city,rzecz,74
5302,GXL,?,2
5303,Gallen,?,1
5304,poziom,rzecz,220
5305,D20,?,1
5306,Common,?,6
5307,Rail,?,2
5308,norma,rzecz,88
5309,euro,rzecz,105
5310,jeszcze,?,317
5311,EEV,?,3
5312,rama,rzecz,184
5313,restrukturyzacja,rzecz,7
5314,Centroliner,?,2
5315,N4516,?,2
5316,486,rzecz,4
5317,Dubaju,?,9
5318,29,rzecz,257
5319,turystyczny,przym,230
5320,Cityliner,?,1
